"lat","lon"
-41.398698,146.501095
-30.981947,152.98422
-34.8,150.5667
-7.083333,146.666667
-34,150.85
-35.048726,138.717767
-33.42,151.35
-34.52,150.87
-33.6,150.8
-19.566667,147.316667
-33.5706,150.8719
-33.9,151.2
-33.6,150.72
-33.183333,147.233333
-35.032058,138.751099
-33.72,150.67
-34.916667,139.3
-34.32,150.92
-33.47,149.57
-34.883333,139.6
-34.57,150.77
-33.748632,150.750942
-32.72,151.55
-34.866667,138.65
-33.798631,150.92594
-35.82,147.25
-41.4,146.5
-33.0467,146.7639
-34.598665,146.417675
-33.7,150.95
-35.516667,139.183333
-30.57,150.92
-35.32,143.55
-30.5,151.65
-17.45,145.666667
-30.726389,151.683333
-17.158889,145.629167
-30.933333,150.916667
-41.397108,146.502382
-23.603333,134.494444
30.26087,-87.649108
-30.482105,151.635168
-35.962389,144.938361
-35.890444,144.992667
-35.834194,144.959194
-35.962722,144.938778
-35.8895,144.992861
-35.842111,145.010694
-35.879,144.9895
-35.841944,145.009833
-35.932583,144.993583
-30.480417,151.636281
-35.834694,144.959194
-35.879583,144.989056
-35.834861,144.960361
-35.878889,144.990139
-35.841694,145.01025
-35.842361,145.010361
-35.938139,144.995806
-35.879556,144.989611
-33.913767,151.140018
-35.891194,145.039833
-35.961694,144.939222
-35.912167,145.045361
-35.962278,144.939944
-32.589156,151.177353
-35.8345,144.960472
-35.725278,149.791389
-36.09066,150.060095
-36.087882,150.132317
-22.706944,-47.641111
28.384651,-81.596903
40.071853,-95.265585
40.074387,-95.232866
-35.14883,139.31322
-35.04293,139.36931
-35.56985,138.28313
-37.73341,140.61059
-35.03868,138.5861
-35.07995,138.70301
-38.2,146.0667
-34.15,145.8167
-33.6,150.7167
-37.7,148.45
-36.000556,144.968333
-36.45,146.4167
-37.6667,145.3667
-33.6667,150.9
-35.5167,139.1
-36.95,147.7583
-38.0167,146.85
-35.8833,145.0333
-36.5333,145.9667
-35.9,145.65
-42.9967,147.2928
-23.3667,150.4667
-34.1,141.9167
-28.8167,152.9667
-37.8333,145.2
-38.075,141.55
-35.8167,144.15
-37.65,148.5667
-37.75,140.366667
-26.5667,153
-38.0667,145.8
22.566667,88.3
-36.2167,145.3167
-37.4667,149.5667
-34.0167,150.85
-38.2833,145.3667
-27.55,153.35
-35.8539,145.0333
-38.2333,142.9
-36.0667,146.9667
-36.35,146.3167
-34.258611,142.238889
-37.9333,146.7667
-36.1167,147.9667
-37.6667,147.5167
-33.8,151.0167
-38.067778,141.830556
-36.228,145.789167
-27.0667,152.45
-37.9,146.6333
-33.55,151.2167
-35.8333,143.95
-33.3667,148.0167
-33.8667,150.3167
-36.189722,144.948056
-38.25,141.85
-35.7333,144.1833
-35.7833,143.8833
-37.7667,147.3833
-35.457222,143.830556
-36.0167,145.9667
-38.5167,142.8
-38.1167,142.3167
-42.984056,147.293806
-42.996556,147.292778
-41.4,146.483333
34.35577,-119.03087
34.266667,-115.683333
35.175626,-120.609747
38.53151,-121.75897
-32.855955,151.616806
-33.607,150.8089
-41.366667,147.416667
-22.752898,145.42698
-27.415077,152.417744
-27.248414,151.917752
-26.581736,153.08439
-27.415073,152.917736
-26.915074,152.584398
-17.256801,145.426111
-19.740115,147.476099
-25.414805,150.023867
-17.190134,145.459444
-17.586465,145.749141
-27.415069,153.084394
-17.090134,145.359444
-27.915075,152.417748
-27.590721,153.475458
-17.415134,145.417777
-23.415089,150.584409
-27.952068,144.769528
-27.248403,153.417728
-27.24841,152.417744
-26.752304,151.597191
-27.498405,152.501073
-21.540099,149.15942
-26.915074,152.917731
-20.956825,139.592861
-20.606825,139.559527
-21.076749,149.219925
-25.180639,150.183867
-23.498417,151.50106
-27.581735,153.084399
-27.581738,152.91774
-28.081741,152.417753
-22.756757,150.209415
-28.081765,148.584475
-22.130676,145.397255
-28.081734,153.25107
-24.833806,147.198528
-28.191667,153.191667
-24.748415,152.417722
-24.415085,150.584408
-27.390069,153.126061
32.196111,-81.048056
39.801944,-121.726944
40.443611,-121.527222
39.463889,-121.578889
39.80197,-121.72741
30.284993,-94.827619
36.380217,-75.8303
35.359669,-80.237696
34.893453,-79.208991
35.675433,-81.093767
-36.514878,174.243679
39.800185,-121.728258
-34,151
-36.5,144.75
-36.5,147.75
-34,145.5
-34,118
-16,143
-35.5,143.25
-29,115
-37.5,147.75
-27.5,150.5
-37.416667,140.583333
-37.75,144.75
-32.5,120
-34,116
-35.5,147
-33.5,148
-35.433333,138.5
-34.5,141.75
-36,149
-31.5,117.5
-31,152.75
-27.134023,153.401561
-34.166667,140
-37.75,141.75
-24,149
-19.5,146
-38.5,143.25
