Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Thermal_regime,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Technical_issue,Notes
23-Jul-21,28-Jul-21,simplelong31_1,31,constant,3,0,0,0,,,,,one adult aphid had wings 
23-Jul-21,28-Jul-21,simplelong11_1,11,constant,5,0,0,1,,,,,
23-Jul-21,28-Jul-21,simplelong15_1,15,constant,6,6,4,0,,,,,
13-Aug-21,18-Aug-21,simplelong15_1,15,constant,3,17,21,6,7,6,6,,one adult had wings
13-Aug-21,18-Aug-21,simplelong11_1,11,constant,5,15,19,19,6,7,5,,
13-Aug-21,18-Aug-21,simplelong31_1,31,constant,6,24,22,26,8,8,8,y,Computer tuned off and all incubators were at 20C
20-Aug-21,25-Aug-21,simplelong31_1,31,constant,3,0,0,0,10,12,12,,"Celsius frozen, protocol data not recorded after ~50h. It appears as though the incubators remained at the programmed temperatures throughout. "
20-Aug-21,25-Aug-21,simplelong15_1,15,constant,5,18,7,8,5,4,5,,
22-Aug-21,27-Aug-21,simplelong11_1,11,constant,6,10,8,5,4,4,4,,
03-Sep-21,08-Sep-21,simplelong15_1,15,constant,3,13,19,19,,,,y,"error: unknown IP address, no connection made because the target machine actively refused it "
03-Sep-21,08-Sep-21,simplelong11_1,11,constant,5,4,1,1,,,,y,
03-Sep-21,08-Sep-21,simplelong31_1,31,constant,6,2,1,0,,,,y,
10-Sep-21,15-Sep-21,simplelong11_1,11,constant,3,8,6,0,4,4,6,y,"error: celsius not running due to windows taking updates @24h, incubators at 20c"
10-Sep-21,15-Sep-21,simplelong31_1,31,constant,5,0,0,1,10,12,10,y,
10-Sep-21,15-Sep-21,simplelong15_1,15,constant,6,10,0,12,2,5,5,y,one adult had wings
17-Sep-21,22-Sep-21,simplelong15_1,15,constant,3,,,,6,5,5,,
17-Sep-21,22-Sep-21,simplelong11_1,11,constant,5,,,,4,5,4,,
17-Sep-21,22-Sep-21,simplelong31_1,31,constant,6,,,,13,12,13,,
24-Sep-21,29-Sep-21,simplelong31_1,31,constant,3,1,1,0,10,10,13,,one adult had wings
24-Sep-21,29-Sep-21,simplelong15_1,15,constant,5,0,10,10,4,5,4,,one adult had wings
24-Sep-21,29-Sep-21,simplelong11_1,11,constant,6,6,0,0,5,4,5,,
08-Oct-21,13-Oct-21,simplelong15_000_6,15,0,5,15,24,12,3,3,2,y,"error: unknown IP address, no connection made because the target machine actively refused it"
08-Oct-21,13-Oct-21,simplelong15_060_6,15,0.6,3,11,3,0,3,2,4,y,incubators cut out for a 9 hour period on oct 11
08-Oct-21,13-Oct-21,simplelong15_095_6,15,0.95,6,0,1,11,3,3,2,y,
22-Oct-21,27-Oct-21,simplelong15_095rev_06,15,0.95,1,7,9,15,5,7,8,y,34 hour gap in incubators
22-Oct-21,27-Oct-21,simplelong20_1,20,constant,2,,,,8,9,9,y,
22-Oct-21,27-Oct-21,simplelong_15_000_06,15,0,3,17,13,11,8,8,5,y,
22-Oct-21,27-Oct-21,simplelong23_1,23,constant,4,total 78,,,10,10,9,y,
22-Oct-21,27-Oct-21,simplelong15_060_06,15,0.6,5,9,14,15,7,7,7,y,
22-Oct-21,27-Oct-21,simplelong15_095_6,15,0.95,6,5,3,4,8,5,6,y,
29-Oct-21,03-Nov-21,Manual,20,constant,1,,,,12,6,8,,
29-Oct-21,03-Nov-21,Simplelong30_1,30,constant,2,,,,13,14,15,,
29-Oct-21,03-Nov-21,Manual,25,constant,3,,,,17,15,15,,
29-Oct-21,03-Nov-21,Simplelong 35_1,35,constant,4,,,,10,10,8,,
29-Oct-21,03-Nov-21,Simplelong 25_1,25,constant,5,,,,10,10,11,,
29-Oct-21,03-Nov-21,Manual,23,constant,6,,,,10,10,9,,
05-Nov-21,10-Nov-21,Manual,20,constant,1,18,17,8,7,7,7,,
05-Nov-21,10-Nov-21,Simplelong 15_095_06,15,0.95,2,5,18,11,8,6,7,,
05-Nov-21,10-Nov-21,Manual,31,constant,3,0,0,0,14,12,11,,
05-Nov-21,10-Nov-21,Simplelong 15_095rev_06,15,0.95,4,0,3,2,5,6,6,,
05-Nov-21,10-Nov-21,simplelong 40_1,40,constant,5,NA,NA,NA,0,0,0,,
05-Nov-21,10-Nov-21,Manual,23,constant,6,18,23,7,12,10,10,,
12-Nov-21,17-Nov-21,Manual,20,constant,1,,,,9,7,12,,
12-Nov-21,17-Nov-21,Manual,39,constant,3,,,,4,3,5,,
12-Nov-21,17-Nov-21,Manual,23,constant,6,,,,10,11,9,,
19-Nov-21,24-Nov-21,Manual,20,constant,1,,,,9,8,6,,
19-Nov-21,24-Nov-21,Simplelong15_095_06,15,0.95,2,12,19,17,4,5,6,,
19-Nov-21,24-Nov-21,Manual,35,constant,3,,,,10,8,8,,
19-Nov-21,24-Nov-21,Simplelong15_060_6,15,0.6,4,14,13,12,14,13,12,,
19-Nov-21,24-Nov-21,Simplelong15_000_06,15,0,5,15,12,8,7,5,6,,
19-Nov-21,24-Nov-21,Manual,25,constant,6,,,,11,11,11,,
26-Nov-21,01-Dec-21,Manual,20,constant,1,,,,9,8,9,,
26-Nov-21,01-Dec-21,Manual,20,constant,3,,,,10,9,9,,
26-Nov-21,01-Dec-21,Manual,25,constant,6,,,,10,13,10,,
03-Dec-21,08-Dec-21,Manual,20,constant,1,,,,9,9,7,,
03-Dec-21,08-Dec-21,Simplelong27_000_2,27,0,2,1,1,0,10,11,13,,
03-Dec-21,08-Dec-21,Manual,25,constant,3,,,,14,12,12,,
03-Dec-21,08-Dec-21,Simplelong27_000_3,27,0,4,18,12,18,14,10,10,,
03-Dec-21,08-Dec-21,Simplelong27_000_4,27,0,5,7,15,10,12,10,10,,
03-Dec-21,08-Dec-21,Manual,35,constant,6,,,,12,10,10,,
10-Dec-21,15-Dec-21,Simplelong20_2,20,constant,1,,,,7,10,11,,
10-Dec-21,15-Dec-21,Simplelong23_1,23,constant,2,,,,10,11,12,,
10-Dec-21,15-Dec-21,Simplelong35_1,35,constant,3,,,,8,11,9,,
10-Dec-21,15-Dec-21,Simplelong39_1,39,constant,4,,,,4,3,4,,
10-Dec-21,15-Dec-21,Simplelong27_000_5,27,0,5,6,8,10,11,11,13,,
10-Dec-21,15-Dec-21,Simplelong27_000_6,27,0,6,1,4,0,11,13,13,,
17-Dec-21,22-Dec-21,Simplelong20_2,20,constant,1,x,x,x,6,5,7,,
17-Dec-21,22-Dec-21,Simplelong25_1,25,constant,2,,,,6,8,6,,
17-Dec-21,22-Dec-21,Simplelong39_1,39,constant,3,,,,5,4,5,,
17-Dec-21,22-Dec-21,Simplelong27_000_7,27,0,4,20,10,7,12,12,12,,
17-Dec-21,22-Dec-21,Simplelong27_000_8,27,0,5,8,4,12,8,12,14,,
17-Dec-21,22-Dec-21,Simplelong27_000_9,27,0,6,20,6,7,11,11,12,,
14-Jan-22,19-Jan-22, Simplelong20_2,20,constant,1,,,,9,9,8,,
14-Jan-22,19-Jan-22, Simplelong35_1,35,constant,2,,,,9,11,10,,
14-Jan-22,19-Jan-22, Simplelong40_1,40,constant,3,,,,4,0,4,,
14-Jan-22,19-Jan-22, Simplelong27_000_10,27,0,4,4,5,6,14,11,11,,
14-Jan-22,19-Jan-22, Simplelong27_000_11,27,0,5,4,4,0,14,12,11,,
14-Jan-22,19-Jan-22, Simplelong27_000_12,27,0,6,6,6,4,12,12,13,,
21-Jan-22,26-Jan-22, Simplelong20_2,20,constant,1,,,,9,9,9,,
21-Jan-22,26-Jan-22, Simplelong35_1,35,constant,2,,,,7,6,7,,
21-Jan-22,26-Jan-22, Simplelong40_1,40,constant,3,,,,0,0,2,,
21-Jan-22,26-Jan-22, Simplelong27_000_13,27,0,4,1,0,2,10,11,12,,
21-Jan-22,26-Jan-22, Simplelong27_000_14,27,0,5,0,0,4,9,9,10,,
21-Jan-22,26-Jan-22, Simplelong27_000_15,27,0,6,7,6,7,12,10,10,,
28-Jan-22,02-Feb-22, Simplelong20_2,20,constant,1,,,,11,15,9,,
28-Jan-22,02-Feb-22, Simplelong40_1,40,constant,2,,,,0,0,0,,
28-Jan-22,02-Feb-22, Simplelong40_1,40,constant,3,,,,0,0,0,,
28-Jan-22,02-Feb-22, Simplelong27_095_1,27,0,4,,,,,,,,contaminated
28-Jan-22,02-Feb-22, Simplelong27_000_16,27,0,5,18,18,9,8,8,8,,
28-Jan-22,02-Feb-22, Simplelong27_000_17,27,0,6,33,10,33,,,,,contaminated
04-Feb-22,09-Feb-22,Simplelong27_095_2,27,0.95,2,,,,10,9,11,,
04-Feb-22,09-Feb-22,Simplelong27_095rev_2,27,0.95,3,,,,11,13,13,,
04-Feb-22,09-Feb-22,Simplelong27_095_3,27,0.95,4,,,,12,12,12,,
04-Feb-22,09-Feb-22,Simplelong27_095rev_3,27,0.95,5,9,8,10,12,11,10,,
04-Feb-22,09-Feb-22,Simplelong27_095rev_4,27,0.95,6,17,31,20,12,12,10,,
11-Feb-22,16-Feb-22,Simplelong27_000_18,27,0,2,,,,7,8,7,,
11-Feb-22,16-Feb-22,Simplelong27_095_5,27,0.95,3,,,,7,8,7,,
11-Feb-22,16-Feb-22,Simplelong27_095rev_5,27,0.95,4,3,9,6,6,6,6,,
11-Feb-22,16-Feb-22,Simplelong27_000_19,27,0,5,13,14,12,9,10,12,,
11-Feb-22,16-Feb-22,Simplelong27_095_6,27,0.95,6,12,19,8,6,7,9,,
18-Feb-22,23-Feb-22,Simplelong27_095_7,27,0.95,2,,,,8,5,5,,
18-Feb-22,23-Feb-22,Simplelong27_095rev_7,27,0.95,3,2,3,1,7,6,5,,
18-Feb-22,23-Feb-22,Simplelong27_095_8,27,0.95,4,17,11,6,6,6,5,,
18-Feb-22,23-Feb-22,Simplelong27_095rev_8,27,0.95,5,13,14,1,7,5,7,,
18-Feb-22,23-Feb-22,Simplelong27_000_20,27,0,6,,,,7,5,6,,
25-Feb-22,02-Mar-22,Simplelong27_000_21,27,0,2,,,,12,11,16,,
25-Feb-22,02-Mar-22,Simplelong27_095_9,27,0.95,3,,,,11,15,13,,
25-Feb-22,02-Mar-22,Simplelong27_095rev_9,27,0.95,4,15,8,18,13,12,11,,
25-Feb-22,02-Mar-22,Simplelong27_095_10,27,0.95,5,10,12,19,14,15,12,,
25-Feb-22,02-Mar-22,Simplelong27_095rev_10,27,0.95,6,18,25,21,11,11,15,,
04-Mar-22,09-Mar-22,Simplelong15_095_7,15,0.95,2,,,,6,5,6,,
04-Mar-22,09-Mar-22,Simplelong15_095rev_7,15,0.95,3,16,14,13,5,6,6,,
04-Mar-22,09-Mar-22,Simplelong15_000_8,15,0,4,8,7,13,4,5,5,,
04-Mar-22,09-Mar-22,Simplelong15_095_8,15,0.95,5,3,13,7,4,6,6,,
04-Mar-22,09-Mar-22,Simplelong15_095rev_8,15,0.95,6,0,0,0,6,5,5,,
11-Mar-22,16-Mar-22,Simplelong15_095_9,15,0.95,2,26,23,32,6,6,6,,
11-Mar-22,16-Mar-22,Simplelong15_095rev_9,15,0.95,3,12,17,10,5,6,6,,
11-Mar-22,16-Mar-22,Simplelong15_000_9,15,0,4,7,9,10,6,6,6,,
11-Mar-22,16-Mar-22,Simplelong40_6,40,constant,5,0,0,0,0,0,0,,
11-Mar-22,16-Mar-22,Simplelong5_1,5,constant,6,0,0,0,4,5,5,,
18-Mar-22,23-Mar-22,Simplelong15_095_10,15,0.95,2,,,,6,6,6,,
18-Mar-22,23-Mar-22,Simplelong15_095rev_10,15,0.95,3,9,0,0,5,6,6,,
18-Mar-22,23-Mar-22,Simplelong15_000_10,15,0,4,1,7,5,4,5,5,,
18-Mar-22,23-Mar-22,Simplelong15_095_11,15,0.95,5,17,10,0,5,5,5,,
18-Mar-22,23-Mar-22,Simplelong15_095rev_11,15,0.95,6,,,,6,6,3,,
25-Mar-22,30-Mar-22,Simplelong15_000_12,15,0,2,,,,6,6,6,,
25-Mar-22,30-Mar-22,Simplelong15_095_12,15,0.95,3,,,,6,6,6,,
25-Mar-22,30-Mar-22,Simplelong15_095rev_12,15,0.95,4,,,,4,4,5,,
25-Mar-22,30-Mar-22,Simplelong5_1,5,constant,5,,,,4,5,4,,
25-Mar-22,30-Mar-22,Simplelong15_000_11,15,0,6,6,10,18,6,6,6,,
01-Apr-22,06-Apr-22,Simplelong15_000_12,15,0,2,0,0,0,7,6,4,,
01-Apr-22,06-Apr-22,Simplelong15_095_12,15,0.95,3,16,18,17,7,7,6,,
01-Apr-22,06-Apr-22,Simplelong15_095rev_12,15,0.95,4,10,17,0,5,5,5,,
01-Apr-22,06-Apr-22,Simplelong15_000_11,15,0,5,0,0,19,5,6,5,,
01-Apr-22,06-Apr-22,Simplelong15_095_13,15,0.95,6,0,0,0,4,5,5,,
08-Apr-22,13-Apr-22,Simplelong15_095rev_13,15,0.95,2,0,6,9,6,8,7,,one aphid had molt

