Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Turionifera1,Turionifera2,Turionifera3,,,Duckweed_Notes,,,,,Notes
October 22/2021,october 27/2021,simplelong_15_000_06,15,0,3,17,13,11,8,8,5,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong23_1,23,constant,4,total 78,,,10,10,9,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong15_060_06,15,0.6,5,9,14,15,7,7,7,,,,,,,,,,,
October 22/2021,october 27/2021,simplelong15_095_6,15,0.95,6,5,3,4,8,5,6,,,,,,,,,,,
October 29/2021,November 3/2021,Manual,20,Constant,1,,,,12,6,8,,,,,,,,,,,
October 29/2021,November 3/2021,Simplelong30_1,30,Constant,2,,,,13,14,15,,,,,,,,,,,
October 29/2021,November 3/2021,Manual,25,constant,3,,,,17,15,15,,,,,,,,,,,
October 29/2021,November 3/2021,Simplelong 35_1,35,constant,4,,,,10,10,8,,,,,,,,,,,
October 29/2021,November 3/2021,Simplelong 25_1,25,constant,5,,,,10,10,11,,,,,,,,,,,
October 29/2021,November 3/2021,Manual,23,constant,6,,,,10,10,9,,,,,,,,,,,
November 5/2021,November 10/2021,Manual,20,constant,1,18,17,8,7,7,7,,,,,,,,,,,
November 5/2021,November 10/2021,Simplelong 15_095_06,15,0.95,2,5,18,11,8,6,7,,,,,,,,,,,
November 5/2021,November 10/2021,Manual,31,constant,3,0,0,0,14,12,11,,,,,,,,,,,
November 5/2021,November 10/2021,Simplelong 15_095rev_06,15,0.95rev,4,0,3,2,5,6,6,,,,,,,,,,,
November 5/2021,November 10/2021,simplelong 40_1,40,constant,5,NA,NA,NA,0,0,0,,,,,,,,,,,all duckweed dead
November 5/2021,November 10/2021,Manual,23,constant,6,18,23,7,12,10,10,,,,,,,,,,,
November 12/2021,November 17/2021,Manual,20,constant,1,,,,9,7,12,,,,,,,,,,,
November 12/2022,November 17/2021,Manual,39,constant,3,,,,4,3,5,,,,,,,,,,,
