"","fname","slp","r2","p","cat","program_mean","obs_mean","program_sd","obs_sd","program_ac","obs_ac"
"35","e38inc5_19_095.xls",0.00138318809696429,0.888860759433598,0,"P",18.1613861386139,18.5088235294118,2.55573747857755,3.09431224522425,0.937750934135128,0.727284045540818
"36","e38inc6_19_095.xls",-0.000852474740867392,0.654655722370152,0,"N",20.9762376237624,19.3904761904762,2.41093958924115,2.32607798495713,0.962747948821191,0.91274714360947
"37","e39inc5_19_095.xls",0.00109386476596018,0.767508078451358,0,"P",18.5781512605042,18.8292682926829,2.61031719820244,3.08798023815236,0.962875910946978,0.89981543318741
"38","e39inc6_19_095.xls",-0.00101143421921447,0.740599174171116,0,"N",20.1364406779661,17.8148936170213,3.08510802022406,2.546948619632,0.969871644747255,0.810585411604711
"39","e49inc6_15_095_6.xls",0.000829154663353832,0.434489096576762,0,"P",14.9378151260504,14.8297619047619,2.48483507608905,2.50838496314871,0.953674696161899,0.955997997268962
"40","e53inc2_15_095_6.xls",0.000775752304237564,0.420675589550636,0,"P",14.9591666666667,14.9225,2.49909213207393,2.50470020346621,0.95263978152277,0.950654955115151
"41","e53inc4_15_095rev_06.xls",-0.000783975441953904,0.42188497863316,0,"N",14.9491666666667,14.9316666666667,2.50250280881426,2.49597940000836,0.953583291428484,0.951976522266819
"42","e55inc2_15_095_6.xls",0.000791619404621998,0.428980178614056,0,"P",14.9495798319328,14.9025210084034,2.50744227672647,2.51593100956562,0.952416554859237,0.95250885185819
"43","e56inc4_23_095_1.xls",0.000323295142593852,0.185536335774651,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000169882316480913,"P",23.0254237288136,24.1641509433962,1.53228428108645,1.66722873928134,0.889914179615807,0.6592251672267
"44","e56inc5_23_095rev_1.xls",-0.000458407361824508,0.222620435375212,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000245419241507341,"N",23.1949152542373,20.8622641509434,2.48279025063621,2.01839868127552,0.971385428456053,0.851710334988388
"45","e63inc2_27_095_2_notpro.xls",-0.000861009794650266,0.518696489612357,0,"N",26.9525,26.9091666666667,2.5004188724722,2.50726661014375,0.956129315654552,0.950540042754642
"46","e63inc3_27_095rev_2_notpro.xls",0.000863714937425928,0.521036646228258,0,"P",26.9533333333333,26.9066666666667,2.49796331604195,2.50973678131484,0.955875459085707,0.952314737402594
"47","e63inc4_27_095_3_notpro.xls",0.0010410854243079,0.770189044695702,0,"P",26.9591666666667,26.9166666666667,2.49252650444286,2.47869352051185,0.94832793866292,0.945469625266333
"48","e63inc5_27_095rev_3_notpro.xls",-0.00104107755970848,0.767791036475553,0,"N",26.9508333333333,26.9225,2.49109323755802,2.48712525153172,0.948768714671454,0.946443063648501
"49","e63inc6_27_095rev_4_notpro.xls",-0.00100131452248595,0.704082253979327,0,"N",26.955,26.925,2.49974284391701,2.50036131842761,0.958061254953961,0.955833775782463
"50","e64inc3_27_095_5_notpro.xls",0.00105125107480584,0.76278519415116,0,"P",26.9420168067227,26.8983193277311,2.50834187240649,2.51129594450643,0.945453696627861,0.94045080899938
"51","e64inc4_27_095rev_5_notpro.xls",-0.0010510553567998,0.762840765800176,0,"N",26.9739495798319,26.9361344537815,2.49268292546962,2.49982138658341,0.946372647593906,0.945336893849852
"52","e64inc6_27_095_6_notpro.xls",0.00107360509816098,0.789704930822783,0,"P",26.9403361344538,26.8957983193277,2.50038367658324,2.49933533394832,0.964695598770815,0.960767153334673
"53","e65inc2_27_095_7_notpro.xls",0.00111587282683408,0.866266161181862,0,"P",26.96,26.9125,2.49703689946923,2.49872446451781,0.950433699736383,0.947625350567722
"54","e65inc3_27_095rev_7_notpro.xls",-0.00112124375659286,0.872294279373469,0,"N",26.9525,26.9191666666667,2.49863702341695,2.4984128014823,0.951347292191118,0.949944258843148
